City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,71.76,94,75,12.66,TO,1666370642
1,Sampit,-2.5333,112.95,76.01,97,100,1.01,ID,1666370643
2,Barrow,71.2906,-156.7887,26.62,93,100,28.77,US,1666370537
3,George Town,5.4112,100.3354,80.53,95,40,8.05,MY,1666369822
4,Busselton,-33.65,115.3333,54.09,79,69,7.78,AU,1666370645
5,Puerto Nariño,-3.7703,-70.3831,85.46,72,97,2.57,CO,1666370645
6,Salé,34.0389,-6.8166,81.64,60,100,8.05,MA,1666370646
7,Ilulissat,69.2167,-51.1,32.02,93,100,3.44,GL,1666370646
8,Lodwar,3.1191,35.5973,88.74,32,91,22.35,KE,1666370647
9,Hilo,19.7297,-155.09,79.29,80,0,4.61,US,1666370647
10,Mataura,-46.1927,168.8643,32.68,98,5,2.06,NZ,1666370648
11,Cape Town,-33.9258,18.4232,66.27,68,0,28.77,ZA,1666370524
12,Chokurdakh,70.6333,147.9167,11.34,94,100,12.66,RU,1666370649
13,Lorengau,-2.0226,147.2712,80.74,77,36,5.03,PG,1666370649
14,Mīrābād,30.4362,61.8383,73.51,11,51,4.07,AF,1666370650
15,Punta Arenas,-53.15,-70.9167,51.82,39,100,27.07,CL,1666370424
16,Ambilobe,-13.2,49.05,72.77,73,47,2.71,MG,1666370651
17,Haicheng,40.8516,122.7475,52.09,84,25,3.04,CN,1666370651
18,East London,-33.0153,27.9116,70.74,78,75,12.66,ZA,1666370652
19,Kantemirovka,49.7089,39.8592,39.94,70,8,6.35,RU,1666370653
20,Saint-Joseph,-21.3667,55.6167,70.18,83,38,10.45,RE,1666370654
21,Port Alfred,-33.5906,26.891,69.19,88,99,10.83,ZA,1666370654
22,Mahibadhoo,3.7833,72.9667,82.13,76,99,14.43,MV,1666370655
23,Carnarvon,-24.8667,113.6333,66.85,80,0,16.98,AU,1666370504
24,Ushuaia,-54.8,-68.3,51.42,50,75,25.32,AR,1666370643
25,Soanierana Ivongo,-16.9167,49.5833,69.04,85,7,2.06,MG,1666370657
26,Antalya Province,36.7741,30.7178,74.08,41,20,5.75,TR,1666370657
27,Bengbu,32.9408,117.3608,60.24,68,0,2.04,CN,1666370658
28,Mahébourg,-20.4081,57.7,73.69,83,40,8.05,MU,1666370658
29,Bluff,-46.6,168.3333,41.65,82,9,8.08,NZ,1666370659
30,Castro,-24.7911,-50.0119,64.0,93,99,10.67,BR,1666370659
31,Coquimbo,-29.9533,-71.3436,58.73,77,75,10.36,CL,1666370660
32,Touros,-5.1989,-35.4608,84.11,58,79,18.16,BR,1666370661
33,Tasiilaq,65.6145,-37.6368,32.16,98,100,4.74,GL,1666370661
34,Puerto Ayora,-0.7393,-90.3518,73.36,90,93,8.01,EC,1666370662
35,Mugango,-1.6833,33.7,77.18,64,100,6.02,TZ,1666370662
36,Aklavik,68.2191,-135.0107,21.2,93,100,3.44,CA,1666370663
37,Bambous Virieux,-20.3428,57.7575,73.65,83,40,8.05,MU,1666370663
38,Qaanaaq,77.484,-69.3632,-1.61,58,0,9.6,GL,1666370664
39,Cherskiy,68.75,161.3,4.24,95,100,7.61,RU,1666370664
40,Omboué,-1.5746,9.2618,77.85,83,67,8.81,GA,1666370665
41,Bredasdorp,-34.5322,20.0403,59.29,66,53,6.78,ZA,1666370665
42,Hobart,-42.8794,147.3294,62.46,93,75,3.44,AU,1666370623
43,St. George's,12.0564,-61.7485,89.28,70,40,12.66,GD,1666370521
44,Hasaki,35.7333,140.8333,63.0,68,78,16.69,JP,1666370667
45,Trincomalee,8.5711,81.2335,76.86,87,100,5.66,LK,1666370667
46,Norman Wells,65.282,-126.8329,21.24,100,75,2.3,CA,1666370668
47,Liwale,-9.7667,37.9333,75.97,42,29,10.85,TZ,1666370668
48,Sitka,57.0531,-135.33,44.49,81,75,3.44,US,1666370669
49,Maromitsa,59.8683,48.0123,29.25,84,50,7.83,RU,1666370669
50,Bilibino,68.0546,166.4372,10.27,97,100,2.55,RU,1666370659
51,Souillac,-20.5167,57.5167,73.78,83,40,8.05,MU,1666370670
52,Kulhudhuffushi,6.6221,73.07,81.03,82,100,13.09,MV,1666370670
53,Boddam,57.4667,-1.7833,53.98,97,100,14.03,GB,1666370671
54,Saint-Philippe,-21.3585,55.7679,71.19,84,48,11.43,RE,1666370671
55,Basco,20.4487,121.9702,81.18,85,100,16.8,PH,1666370671
56,Chui,-33.6971,-53.4616,65.16,78,100,9.57,UY,1666370672
57,Lavrentiya,65.5833,-171.0,34.39,94,100,6.76,RU,1666370673
58,Paamiut,61.994,-49.6678,42.28,76,100,37.07,GL,1666370673
59,New Norfolk,-42.7826,147.0587,62.1,90,100,1.14,AU,1666370675
60,Waverly,42.7392,-84.6208,64.15,49,0,16.11,US,1666370675
61,Nikolskoye,59.7035,30.7861,42.69,93,100,3.09,RU,1666370665
62,Bethel,41.3712,-73.414,62.55,39,0,1.99,US,1666370676
63,Tuktoyaktuk,69.4541,-133.0374,21.2,86,75,9.22,CA,1666370677
64,Hermanus,-34.4187,19.2345,64.8,69,7,11.41,ZA,1666370677
65,Palāsa,18.7667,84.4167,74.64,61,1,6.44,IN,1666370678
66,Rikitea,-23.1203,-134.9692,71.08,73,3,23.51,PF,1666370678
67,Arraial do Cabo,-22.9661,-42.0278,89.56,61,20,24.16,BR,1666370679
68,Kapasan,-6.7773,111.3789,77.29,90,100,6.69,ID,1666370679
69,Rovaniemi,66.5,25.7167,33.21,69,0,8.05,FI,1666370592
70,Rome,43.2128,-75.4557,59.68,32,0,8.05,US,1666370523
71,Cabo San Lucas,22.8909,-109.9124,86.61,75,27,1.01,MX,1666370612
72,Fortuna,40.5982,-124.1573,50.92,100,100,0.0,US,1666370681
73,Mar del Plata,-38.0023,-57.5575,56.88,82,100,18.41,AR,1666370415
74,Langsa,4.4683,97.9683,75.83,93,100,2.06,ID,1666370681
75,Jamestown,42.097,-79.2353,60.03,36,0,16.11,US,1666370513
76,Vila Velha,-20.3297,-40.2925,82.35,76,75,18.01,BR,1666370439
77,Richards Bay,-28.783,32.0377,73.29,85,77,8.19,ZA,1666370682
